11	0,1,19,31,32,23,5,0,0,26,36,36,36,36,32,3,13,36,27,2,1,21,36,23,21,36,8,0,0,1,35,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,31,30,24,36,6,0,0,0,30,30,20,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,20,36,6,0,0,0,30,30,20,36,6,0,0,0,30,30,23,36,10,0,0,0,30,30,18,36,14,0,0,0,32,30,6,36,33,10,6,22,36,25,0,20,36,36,36,36,33,5,0,0,9,12,12,12,4,0
12	5,17,18,18,27,18,1,0,12,36,36,36,36,35,23,5,13,36,16,6,6,18,36,26,15,36,6,0,0,0,27,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,26,30,18,36,16,12,12,21,36,21,20,36,36,36,36,36,29,3,6,12,12,12,12,9,0,0
13	0,0,6,17,18,10,0,0,0,17,36,36,36,36,23,0,1,34,35,16,14,31,36,13,10,36,17,0,0,7,36,23,12,36,12,0,0,0,36,24,11,36,17,0,0,7,36,21,2,33,33,14,13,33,36,9,0,20,36,36,36,36,25,0,4,35,34,19,15,31,36,6,15,36,16,0,0,6,36,21,22,36,4,0,0,0,32,29,18,36,3,0,0,0,33,28,16,36,10,0,0,6,36,22,4,35,33,14,14,33,36,9,0,14,35,36,36,36,19,0,0,0,4,12,12,6,0,0
14	0,0,3,12,12,5,0,0,0,18,35,36,36,36,19,0,6,36,33,16,13,30,36,12,17,36,10,0,0,4,36,27,24,36,0,0,0,0,30,30,24,36,0,0,0,0,31,30,24,36,0,0,0,0,34,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,25,24,36,0,0,0,0,36,24,22,36,5,0,0,8,36,22,9,36,31,14,16,35,36,9,0,16,36,36,36,35,15,0,0,0,5,12,12,4,0,0
15	0,1,11,18,16,4,0,0,0,29,36,36,36,35,10,0,12,36,32,18,22,36,34,2,23,36,7,0,0,20,36,11,29,36,0,0,0,12,36,18,26,36,5,0,0,16,36,11,15,36,27,12,18,36,33,2,0,28,36,36,36,36,13,0,17,36,32,19,23,36,33,2,30,36,4,0,0,21,36,15,36,28,0,0,0,11,36,18,36,27,0,0,0,11,36,18,33,33,1,0,0,20,36,14,21,36,27,13,22,36,34,2,3,29,36,36,36,35,10,0,0,1,11,12,12,4,0,0
16	6,12,12,12,14,7,0,0,20,36,36,36,36,36,19,0,18,36,10,6,9,27,36,12,18,36,0,0,0,2,34,27,18,36,0,0,0,0,26,30,18,36,0,0,0,1,33,28,18,36,8,2,7,25,36,12,18,36,36,36,36,36,31,0,18,36,20,13,18,25,36,16,18,36,4,0,0,0,29,29,18,36,6,0,0,0,24,30,16,36,6,0,0,0,24,30,17,36,6,0,0,0,24,30,18,36,6,0,0,7,34,27,18,36,33,30,30,35,35,8,6,12,12,12,12,12,6,0
17	0,0,6,16,18,8,0,0,0,15,36,36,36,36,21,0,4,35,30,10,8,30,36,11,14,36,10,0,0,8,36,20,18,36,6,0,0,0,36,21,12,36,14,0,0,8,36,16,2,33,31,9,6,27,35,4,0,14,36,36,36,36,20,0,1,31,33,17,14,30,35,6,11,36,13,0,0,5,36,21,17,36,3,0,0,0,30,28,18,36,2,0,0,0,30,30,15,36,9,0,0,1,34,25,5,35,29,6,1,21,36,14,0,15,36,36,36,36,26,1,0,0,6,12,12,11,1,0
18	8,18,21,30,19,13,0,0,18,36,36,36,36,36,24,0,18,36,11,5,6,26,36,13,18,36,2,0,0,1,33,28,18,36,4,0,0,0,30,30,18,36,5,0,0,3,34,27,18,36,14,12,14,30,36,11,18,36,36,36,36,36,33,1,18,36,18,12,13,25,36,17,18,36,6,0,0,0,30,30,18,36,6,0,0,0,26,30,18,36,6,0,0,0,24,30,17,36,6,0,0,0,30,30,18,36,8,0,1,14,36,25,18,36,36,36,36,36,35,6,6,12,12,12,12,12,6,0
19	0,0,10,22,22,11,0,0,0,21,36,36,36,36,24,0,9,36,26,6,6,26,36,15,21,36,4,0,0,2,36,27,7,21,0,0,0,0,36,29,0,0,0,0,0,13,36,20,0,0,0,0,2,32,35,4,0,0,0,0,21,36,16,0,0,0,0,8,36,29,1,0,0,0,1,30,35,8,0,0,0,0,17,36,21,0,0,0,0,4,35,32,2,0,0,0,0,28,36,11,0,0,0,0,14,36,32,1,4,6,6,4,24,36,36,36,36,36,36,30,8,12,12,12,12,12,12,10
20	0,0,13,24,24,17,1,0,0,20,36,36,36,36,25,0,6,36,28,5,3,26,36,10,16,36,11,0,0,6,36,20,18,36,9,0,0,2,36,24,14,36,16,0,0,10,36,19,2,33,33,14,11,30,35,5,0,19,36,36,36,36,24,0,4,35,33,16,13,30,36,8,16,36,14,0,0,6,36,22,22,36,4,0,0,0,32,30,24,36,3,0,0,0,33,30,20,36,9,0,0,5,36,25,8,36,30,9,8,30,36,13,0,21,36,36,36,36,26,1,0,0,8,12,12,11,1,0
