15       0,1,11,18,16,4,0,0,0,29,36,36,36,35,10,0,12,36,32,18,22,36,34,2,23,36,7,0,0,20,36,11,28,36,0,0,0,12,36,18,26,36,5,0,0,16,36,11,15,36,27,12,18,36,33,2,0,28,36,36,36,36,13,0,16,36,32,19,23,36,33,2,30,36,4,0,0,21,36,15,36,28,0,0,0,11,36,18,36,27,0,0,0,10,36,18,33,33,1,0,0,20,36,14,21,36,27,12,22,36,34,2,3,29,36,36,36,35,10,0,0,1,11,12,12,4,0,0
16       6,12,12,12,13,6,0,0,20,36,36,36,36,36,19,0,18,36,10,6,9,27,36,12,18,36,0,0,0,2,34,29,18,36,0,0,0,0,25,30,18,36,0,0,0,1,33,29,18,36,9,0,7,24,36,12,18,36,36,36,36,36,31,0,18,36,21,16,18,25,36,17,18,36,4,0,0,0,29,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,7,0,0,7,34,29,18,36,33,30,30,35,35,8,6,12,12,12,12,12,7,0
17       0,0,6,16,18,8,0,0,0,15,36,36,36,36,21,0,3,35,30,9,8,30,36,10,14,36,10,0,0,8,36,21,18,36,6,0,0,0,36,23,11,36,14,0,0,7,36,16,2,32,31,8,5,26,35,4,0,14,36,36,36,36,20,0,1,31,33,16,14,30,35,6,10,36,13,0,0,5,36,21,17,36,3,0,0,0,30,30,18,36,2,0,0,0,30,30,14,36,9,0,0,1,34,29,4,35,30,6,1,21,36,14,0,15,36,36,36,36,26,1,0,0,7,12,12,12,1,0
18       8,18,20,30,19,13,0,0,18,36,36,36,36,36,23,0,18,36,11,4,6,26,36,13,18,36,2,0,0,1,33,29,18,36,4,0,0,0,30,30,18,36,5,0,0,3,34,29,18,36,15,12,14,30,36,11,18,36,36,36,36,36,33,1,18,36,19,12,13,25,36,18,18,36,6,0,0,0,30,30,18,36,6,0,0,0,26,30,18,36,6,0,0,0,25,30,17,36,6,0,0,0,30,30,18,36,9,0,1,13,36,27,18,36,36,36,36,36,35,7,6,12,12,12,12,12,7,0
19       0,0,10,22,22,11,0,0,0,21,36,36,36,36,24,0,9,36,26,6,6,26,36,15,21,36,4,0,0,2,36,30,7,21,0,0,0,0,36,30,0,0,0,0,0,13,36,22,0,0,0,0,2,32,35,4,0,0,0,0,21,36,16,0,0,0,0,8,36,29,1,0,0,0,1,30,35,8,0,0,0,0,16,36,21,0,0,0,0,4,35,32,2,0,0,0,0,28,36,11,0,0,0,0,14,36,32,0,3,6,6,4,24,36,36,36,36,36,36,30,8,12,12,12,12,12,12,10
20       0,0,13,24,24,17,1,0,0,20,36,36,36,36,25,0,6,36,28,5,3,26,36,10,16,36,11,0,0,6,36,21,18,36,8,0,0,2,36,30,14,36,16,0,0,10,36,20,2,33,33,13,11,30,35,5,0,19,36,36,36,36,23,0,4,35,33,16,13,30,36,8,16,36,14,0,0,6,36,25,22,36,4,0,0,0,32,30,24,36,3,0,0,0,33,30,20,36,9,0,0,5,36,27,8,36,30,9,8,30,36,13,0,21,36,36,36,36,26,1,0,0,9,12,12,12,1,0
21       0,0,0,8,12,7,0,0,0,3,29,36,36,36,27,3,0,29,36,21,13,25,36,24,10,36,22,0,0,0,30,30,5,27,9,0,0,0,24,30,0,0,0,0,0,1,32,30,0,0,0,0,0,20,36,21,0,0,0,0,10,36,31,2,0,0,0,1,29,36,10,0,0,0,0,21,36,21,0,0,0,0,10,36,31,1,0,0,0,1,32,36,9,0,0,0,0,20,36,19,0,0,0,0,8,35,34,1,0,0,0,3,18,36,36,36,36,36,36,30,6,12,12,12,12,12,12,10
22       8,18,18,18,19,26,24,14,18,36,36,36,36,36,28,3,18,36,17,12,12,23,36,23,18,36,6,0,0,0,33,30,22,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,30,30,24,36,6,0,0,3,35,30,24,36,26,24,24,32,36,17,24,36,36,36,36,36,24,1,5,12,12,12,12,6,0,0
23       5,18,18,18,20,23,21,6,12,36,36,36,36,35,31,6,12,36,16,6,6,13,35,28,12,36,12,0,0,0,24,30,12,36,12,0,0,0,24,30,12,36,12,0,0,0,24,30,12,36,12,0,0,0,24,30,12,36,12,0,0,0,24,30,12,36,12,0,0,0,24,30,12,36,12,0,0,0,24,30,12,36,12,0,0,0,24,30,12,36,6,0,0,0,24,30,12,36,6,0,0,0,26,30,18,36,19,12,12,20,36,25,18,36,36,36,36,36,29,3,3,12,12,12,12,8,0,0
24       0,0,0,0,3,9,0,0,0,0,0,3,30,36,12,0,0,0,1,29,36,26,3,0,0,0,21,36,26,1,0,0,0,6,36,31,2,0,0,0,0,22,36,12,0,0,0,0,0,33,36,32,36,28,11,0,8,36,36,33,30,36,36,13,13,36,27,1,0,9,35,29,18,36,12,0,0,0,26,30,18,36,12,0,0,0,24,30,18,36,12,0,0,0,24,30,15,36,17,0,0,0,28,30,3,34,35,16,7,23,36,24,0,10,35,36,36,36,30,3,0,0,4,12,12,11,1,0
25       0,0,0,0,12,1,0,0,0,0,1,25,36,24,0,0,0,0,22,36,33,10,0,0,0,12,36,33,6,0,0,0,0,30,36,12,0,0,0,0,10,36,30,5,4,0,0,0,22,36,36,36,36,27,6,0,28,36,33,20,25,36,33,2,36,35,4,0,0,19,36,15,36,30,0,0,0,7,36,18,36,30,0,0,0,6,36,18,36,32,0,0,0,8,36,18,29,36,12,0,1,23,36,12,9,35,36,31,33,36,29,1,0,9,27,36,33,21,3,0,0,0,0,0,0,0,0,0
26       0,0,0,0,0,0,0,0,0,0,0,6,32,21,0,0,0,0,6,33,36,27,2,0,0,1,30,36,21,0,0,0,0,18,36,26,0,0,0,0,2,34,34,4,0,0,0,0,11,36,35,28,29,19,3,0,21,36,36,33,34,36,30,2,27,36,20,0,1,22,36,19,30,36,1,0,0,2,36,29,30,36,0,0,0,0,36,30,30,36,0,0,0,0,36,30,27,36,9,0,0,9,36,24,11,36,34,20,19,33,36,10,0,15,35,36,36,34,13,0,0,0,2,11,8,1,0,0
27       0,0,4,6,6,6,5,0,31,36,36,36,36,36,36,0,30,33,18,18,18,18,17,0,30,30,0,0,0,0,0,0,30,30,0,0,0,0,0,0,30,31,6,12,11,2,0,0,30,36,36,36,36,34,10,0,26,36,22,9,16,35,34,2,0,4,0,0,0,16,36,15,0,0,0,0,0,12,36,18,0,0,0,0,0,12,36,18,22,22,0,0,0,12,36,18,32,35,5,0,0,23,36,10,13,36,33,20,27,36,29,1,0,13,32,36,35,22,3,0,0,0,0,0,0,0,0,0
28       19,24,24,24,24,24,5,0,30,36,36,36,36,35,15,0,30,31,0,0,4,26,36,8,30,30,0,0,0,4,36,22,26,30,0,0,0,0,36,24,24,30,0,0,0,14,36,18,24,36,24,24,26,36,32,2,24,36,36,36,36,36,31,3,24,36,3,0,0,16,36,20,24,36,1,0,0,0,31,30,24,36,6,0,0,0,30,30,20,36,6,0,0,0,30,30,18,36,6,0,0,1,33,28,18,36,27,21,23,30,36,13,17,36,36,36,36,32,14,0,0,0,0,0,0,0,0,0
29       0,0,0,0,17,14,0,0,0,0,0,21,36,36,4,0,0,0,20,36,35,11,0,0,0,9,36,35,8,0,0,0,0,30,36,16,0,0,0,0,10,36,36,13,12,5,0,0,21,36,36,36,36,36,20,0,29,36,34,21,23,36,36,12,35,36,9,0,0,18,36,23,36,36,0,0,0,12,36,30,36,36,0,0,0,11,36,30,36,36,0,0,0,10,36,28,31,36,21,1,0,24,36,21,13,36,36,33,32,36,34,5,0,13,33,36,36,30,8,0,0,0,0,6,4,0,0,0
30       0,0,0,1,16,6,0,0,0,0,3,30,36,28,0,0,0,1,27,36,30,4,0,0,0,16,36,31,3,0,0,0,2,34,36,7,0,0,0,0,15,36,29,18,16,4,0,0,27,36,36,36,36,35,10,0,35,36,32,19,24,36,35,4,36,34,3,0,0,25,36,16,36,29,0,0,0,18,36,18,36,29,0,0,0,18,36,18,36,30,0,0,0,18,36,13,35,35,11,0,3,31,36,7,18,36,36,32,34,36,28,0,0,16,34,36,36,24,3,0,0,0,0,4,0,0,0,0
31       11,18,18,18,18,13,1,0,24,36,36,36,36,36,28,1,24,36,7,6,6,20,36,17,24,36,0,0,0,0,36,24,24,36,0,0,0,0,35,24,24,36,0,0,0,0,36,24,24,36,0,0,0,0,36,24,24,36,0,0,0,0,36,25,24,36,0,0,0,0,32,24,24,36,0,0,0,0,30,24,24,36,0,0,0,0,30,30,24,36,0,0,0,0,30,26,24,36,0,0,0,0,33,24,24,36,7,6,6,22,36,18,24,36,36,36,36,36,30,1,8,12,12,12,12,12,1,0
32       0,0,0,5,25,10,0,0,0,0,4,33,35,12,0,0,0,1,29,35,10,0,0,0,0,17,36,17,0,0,0,0,2,34,30,0,0,0,0,0,14,36,27,18,16,4,0,0,26,36,36,36,36,34,9,0,32,36,23,4,11,33,32,1,36,29,0,0,0,14,36,10,36,24,0,0,0,6,36,12,36,20,0,0,0,8,36,12,36,22,0,0,0,12,36,12,31,32,3,0,0,23,36,5,13,36,34,24,30,36,23,0,0,14,33,36,35,22,1,0,0,0,0,6,1,0,0,0
33       11,18,17,9,0,1,3,0,24,36,36,36,29,21,23,1,24,36,7,6,6,22,36,17,24,36,0,0,0,1,36,27,24,36,0,0,0,0,36,27,24,36,0,0,0,0,36,27,26,36,0,0,0,0,36,30,25,36,0,0,0,0,36,29,24,36,0,0,0,0,36,24,24,36,0,0,0,0,36,24,26,36,0,0,0,0,36,24,27,36,0,0,0,0,36,24,29,36,0,0,0,2,36,24,30,36,7,9,9,26,36,14,30,36,36,36,36,36,23,0,9,12,12,12,12,10,0,0
34       4,30,30,30,30,30,30,25,6,36,36,36,36,36,36,30,6,36,24,0,0,0,0,0,3,36,24,0,0,0,0,0,0,36,24,0,0,0,0,0,4,36,26,10,12,7,0,0,6,36,36,36,36,36,19,0,3,32,36,22,16,32,36,11,0,0,5,0,0,7,36,27,0,0,0,0,0,0,31,30,0,0,0,0,0,0,26,30,11,28,6,0,0,0,32,30,12,36,17,0,0,5,36,28,2,34,35,17,13,30,36,15,0,10,35,36,36,36,26,1,0,0,4,12,12,10,0,0
