11       0,25,59,61,35,1,20,64,39,36,63,33,43,46,0,0,35,56,48,40,0,0,25,56,48,40,0,0,24,56,44,40,0,0,24,56,40,40,0,0,24,56,41,40,0,0,24,56,47,43,0,0,24,56,37,54,1,0,31,56,12,63,50,42,63,38,0,16,32,32,27,1
12       18,39,40,54,14,0,32,60,40,42,61,35,35,41,0,0,24,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,16,56,40,40,0,0,22,55,40,58,48,49,63,30,21,32,32,32,19,0
13       0,12,37,38,16,0,6,63,56,54,64,19,27,57,3,0,46,45,32,48,0,0,33,48,25,61,7,6,53,37,2,59,64,63,63,7,23,63,29,23,59,28,41,45,0,0,32,50,42,36,0,0,27,55,35,50,1,1,46,43,9,61,54,54,63,15,0,8,31,32,11,0
14       0,8,30,31,11,0,12,63,56,52,63,17,37,50,1,0,43,49,48,32,0,0,24,56,48,32,0,0,26,56,48,32,0,0,31,56,48,32,0,0,32,56,48,32,0,0,32,53,48,32,0,0,32,48,42,43,0,2,48,43,13,61,54,55,61,13,0,11,31,31,9,0
15       0,21,39,35,8,0,21,64,58,61,58,6,45,46,1,6,59,29,54,32,0,0,48,38,44,50,2,14,60,25,12,63,64,64,53,1,41,58,28,36,64,19,61,29,0,0,52,39,64,19,0,0,45,40,58,35,0,9,58,32,30,64,50,59,58,6,0,22,32,31,8,0
16       22,32,32,32,12,0,40,56,40,47,63,17,40,32,0,0,37,51,40,32,0,0,19,56,40,33,0,1,43,45,40,62,50,59,64,13,40,48,21,24,50,43,40,40,0,0,18,56,40,40,0,0,16,56,40,40,0,0,18,56,40,52,24,25,55,43,20,32,32,32,31,3
17       0,11,36,38,15,0,9,61,48,47,63,16,32,49,0,0,47,42,38,42,0,0,33,45,24,58,3,1,51,30,1,54,60,57,60,3,14,63,25,21,58,27,35,41,0,0,30,51,40,34,0,0,24,56,33,48,0,0,34,51,9,61,45,36,63,22,0,12,32,32,22,0
18       24,40,54,41,18,0,40,56,37,43,64,19,40,36,0,0,35,51,40,37,0,0,24,56,40,41,0,5,50,45,40,64,62,64,64,15,40,49,16,19,51,44,40,40,0,0,19,56,40,40,0,0,18,56,39,40,0,0,26,56,40,55,32,35,59,40,20,32,32,32,31,3
19       0,16,43,43,17,0,15,63,43,43,64,21,42,41,0,0,39,53,13,15,0,0,34,56,0,0,0,4,59,32,0,0,0,39,56,3,0,0,16,64,19,0,0,1,54,42,0,0,0,31,60,7,0,0,12,63,26,0,0,0,43,64,37,37,40,34,24,32,32,32,32,28
20       0,18,46,47,24,0,12,63,42,40,64,17,36,50,0,0,43,42,40,44,0,0,36,55,26,60,7,4,55,32,1,59,63,62,62,4,23,63,25,20,59,30,42,43,0,0,32,55,48,35,0,0,27,56,40,48,0,0,44,49,15,63,48,47,64,21,0,16,32,32,22,0
21       0,2,24,32,15,0,2,49,60,51,64,32,26,61,6,0,29,56,13,28,0,0,17,56,0,0,0,0,43,52,0,0,0,23,64,18,0,0,5,57,40,0,0,0,45,56,3,0,0,23,64,17,0,0,4,59,36,0,0,0,36,64,38,32,32,31,20,32,32,32,32,28
22       24,40,40,46,42,24,40,59,48,49,63,31,40,40,0,0,32,56,46,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,0,24,56,48,40,0,1,41,54,48,64,64,64,64,23,21,32,32,31,14,0
23       19,40,40,44,44,12,32,58,40,40,59,40,32,48,0,0,19,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,48,0,0,16,56,32,42,0,0,16,56,34,40,0,0,23,56,40,61,48,49,62,33,17,32,32,32,18,0
24       0,0,0,18,14,0,0,0,20,63,43,0,0,9,61,43,1,0,0,44,53,2,0,0,6,63,42,30,12,0,24,64,61,58,64,26,35,58,6,0,38,55,40,48,0,0,16,56,40,48,0,0,16,56,33,57,3,0,27,56,7,58,56,44,63,32,0,8,31,32,23,0
25       0,0,4,29,1,0,0,3,54,63,14,0,0,43,61,15,0,0,12,64,27,0,0,0,38,64,40,35,9,0,52,64,45,53,61,11,64,33,0,1,53,37,64,24,0,0,40,40,64,26,0,0,42,40,51,51,12,17,60,29,10,57,64,64,46,2,0,1,14,10,0,0
26       0,0,0,11,0,0,0,0,28,64,26,0,0,20,64,37,1,0,2,58,45,0,0,0,24,64,30,21,3,0,42,64,61,62,58,9,53,50,3,4,53,44,56,32,0,0,32,56,56,32,0,0,32,56,49,49,2,1,49,46,14,61,60,59,60,13,0,8,29,25,6,0
27       13,18,24,24,24,5,58,59,56,56,56,13,56,24,0,0,0,0,56,24,0,0,0,0,56,47,48,45,17,0,52,58,29,43,63,12,0,4,0,0,52,37,0,0,0,0,48,40,32,12,0,0,48,40,55,44,1,10,61,27,15,60,60,63,46,2,0,4,16,13,0,0
28       41,48,48,47,30,0,56,45,32,41,61,13,56,24,0,0,41,42,50,24,0,0,34,48,48,36,16,23,59,27,48,64,64,64,64,11,48,35,0,2,45,46,48,37,0,0,24,56,44,40,0,0,24,56,40,41,0,0,36,51,40,64,61,63,61,15,9,16,16,16,4,0
29       0,0,3,41,15,0,0,3,49,63,23,0,0,39,63,19,0,0,12,64,33,0,0,0,37,64,52,47,27,0,53,64,47,51,64,27,63,41,0,1,53,49,64,32,0,0,48,56,64,32,0,0,45,54,54,58,17,15,61,41,15,60,64,64,56,7,0,5,22,20,2,0
30       0,0,8,37,6,0,0,7,58,58,12,0,0,49,59,10,0,0,20,64,20,0,0,0,44,64,54,51,19,0,61,63,44,52,63,15,64,31,0,3,60,38,64,22,0,0,56,40,64,24,0,0,56,35,60,49,13,24,64,23,20,61,64,64,48,1,0,6,20,14,0,0
31       29,40,40,40,22,0,48,53,40,42,62,25,48,32,0,0,34,47,48,32,0,0,31,48,48,32,0,0,32,48,48,32,0,0,32,49,48,32,0,0,26,48,48,32,0,0,24,52,48,32,0,0,24,52,48,32,0,0,32,48,48,53,40,42,63,26,24,32,32,32,24,0
32       0,0,14,48,7,0,0,9,60,36,1,0,0,50,44,0,0,0,19,62,6,0,0,0,43,63,56,51,18,0,58,58,25,36,62,9,64,21,0,0,48,30,64,14,0,0,40,32,64,12,0,0,48,32,54,39,2,13,60,19,15,61,64,64,42,0,0,5,22,14,0,0
33       29,40,30,5,6,0,48,53,40,40,62,23,48,32,0,0,36,51,48,32,0,0,32,53,48,32,0,0,32,53,51,32,0,0,32,55,48,32,0,0,32,48,50,32,0,0,32,48,51,32,0,0,32,48,55,32,0,0,39,46,56,53,43,46,64,20,27,32,32,32,17,0
34       20,56,56,56,56,49,24,64,32,32,32,28,21,64,0,0,0,0,16,64,0,0,0,0,24,64,44,48,27,0,18,63,50,41,63,26,0,4,1,0,38,53,0,0,0,0,20,56,19,26,0,0,26,56,30,57,3,0,44,51,6,58,57,52,64,22,0,8,31,32,19,0
35       0,0,1,40,27,0,0,0,42,61,20,0,0,23,64,19,0,0,0,54,38,0,0,0,15,64,52,48,33,1,30,64,50,40,62,34,40,54,1,0,25,56,40,45,0,0,16,56,40,45,0,0,16,56,33,58,6,0,34,54,5,56,63,57,64,23,0,5,29,32,12,0
36       29,48,48,51,48,29,40,52,26,24,24,16,40,40,0,0,0,0,40,40,0,0,0,0,40,58,52,47,16,0,31,59,30,40,61,8,0,0,0,0,54,29,0,0,0,0,40,33,49,16,0,0,46,31,47,45,2,14,62,17,10,58,64,64,40,0,0,3,16,12,0,0
37       48,61,61,56,53,17,56,41,24,25,26,11,56,24,0,0,0,0,56,24,6,4,0,0,57,61,64,63,37,0,40,46,12,21,63,19,0,0,0,0,49,32,0,0,0,0,48,32,40,11,0,0,48,32,58,41,2,17,62,17,19,60,64,64,39,0,0,3,16,9,0,0
38       44,48,45,35,5,0,62,47,40,52,58,5,56,16,0,1,53,30,56,16,0,0,43,36,56,23,8,22,62,19,56,64,64,64,56,1,56,24,8,15,58,26,56,16,0,0,40,38,56,16,0,0,40,40,56,22,0,1,48,35,56,59,56,58,58,9,20,24,24,23,6,0
39       0,20,40,30,3,0,32,61,38,44,53,2,62,23,0,0,53,23,64,8,0,0,48,32,64,10,0,0,48,32,64,15,0,0,48,32,64,16,0,0,48,32,64,16,0,0,48,32,64,16,0,0,48,32,57,32,0,3,56,21,20,63,51,60,48,1,0,8,23,18,1,0
40       41,48,48,47,24,0,56,52,40,42,63,27,56,32,0,0,36,51,56,32,0,0,32,56,56,32,0,0,32,56,56,32,0,0,32,56,56,32,0,0,32,56,56,32,0,0,32,56,52,32,0,0,32,56,48,34,0,2,45,48,48,64,64,64,61,17,17,24,24,24,8,0
